index,name,lat,lon,ele,time
1,奧萬大大門，起登,23.954195,121.1695,1189.0,2024-01-26T19:34:44Z
2,走過頭折返,23.95428,121.174576,1220.0,2024-01-26T19:45:06Z
3,岔路，右下,23.953394,121.1739,1207.0,2024-01-26T19:46:34Z
4,清水溪橋,23.951963,121.18222,1187.0,2024-01-26T20:01:08Z
5,溯溪開始,23.949272,121.1828,1176.0,2024-01-26T20:12:38Z
6,萬大南溪溫泉,23.940657,121.19767,1243.0,2024-01-26T20:42:04Z
7,倒木休息,23.925577,121.19942,1386.0,2024-01-26T22:10:55Z
8,第四匯流口(小瀑布),23.920338,121.212105,1452.0,2024-01-26T23:04:23Z
9,廢棄吊橋,23.919346,121.21228,1453.0,2024-01-26T23:07:14Z
10,能安鐵柱(金杏真岔路),23.8922,121.22216,1596.0,2024-01-27T00:07:12Z
11,最後過溪，開始陡上,23.892529,121.2225,1601.0,2024-01-27T00:09:04Z
12,展望點,23.890942,121.22363,1690.0,2024-01-27T01:00:56Z
13,小小咬人貓,23.888666,121.22861,1888.0,2024-01-27T01:31:18Z
14,走稜，還算好走,23.888226,121.22924,1923.0,2024-01-27T01:38:04Z
15,左下接回路徑腰繞,23.888103,121.23025,1957.0,2024-01-27T01:47:02Z
16,邊坡腰繞,23.88895,121.23066,1948.0,2024-01-27T01:53:15Z
17,小崩塌,23.890202,121.23202,1948.0,2024-01-27T02:02:53Z
18,危險崩塌,23.890007,121.232735,1946.0,2024-01-27T02:06:09Z
19,扁帶(咬人貓),23.88984,121.23294,1962.0,2024-01-27T02:08:30Z
20,崩塌,23.890293,121.234474,1932.0,2024-01-27T02:19:42Z
21,營地(2T*4),23.889166,121.23645,1945.0,2024-01-27T02:37:18Z
22,能安鐵柱,23.888601,121.23752,1900.0,2024-01-27T02:41:29Z
23,第二獵寮,23.88748,121.24123,1945.0,2024-01-27T02:55:12Z
24,溪流過溪,23.887308,121.24192,1942.0,2024-01-27T03:07:40Z
25,黃色鐵柱390,23.886784,121.242035,1964.0,2024-01-27T03:10:31Z
26,芒草洞,23.88554,121.24283,2033.0,2024-01-27T03:25:01Z
27,大崩塌,23.885195,121.24336,2055.0,2024-01-27T03:29:24Z
28,檜木香,23.885098,121.2435,2059.0,2024-01-27T03:31:26Z
29,左上切(粉紅布條),23.885088,121.2437,2066.0,2024-01-27T03:35:13Z
30,拉繩樹幹上,23.885231,121.24408,2080.0,2024-01-27T03:38:15Z
31,休息點,23.885557,121.244896,2125.0,2024-01-27T03:47:49Z
32,神木,23.886078,121.245415,2149.0,2024-01-27T04:00:34Z
33,巨大神木,23.88591,121.24648,2187.0,2024-01-27T04:08:05Z
34,神木群,23.886051,121.2472,2185.0,2024-01-27T04:11:39Z
35,扁帶腰繞,23.886065,121.24849,2204.0,2024-01-27T04:31:01Z
36,右邊美麗深潭,23.885616,121.25002,2223.0,2024-01-27T04:42:47Z
37,過溪,23.885311,121.250336,2234.0,2024-01-27T04:45:07Z
38,最後活水源,23.883204,121.25268,2349.0,2024-01-27T05:18:12Z
39,第一獵寮營地,23.883305,121.25271,2350.0,2024-01-27T05:45:29Z
40,箭竹,23.884016,121.25525,2535.0,2024-01-27T06:15:55Z
41,拉繩,23.883873,121.25539,2547.0,2024-01-27T06:17:48Z
42,藍色扁帶,23.883625,121.25625,2612.0,2024-01-27T06:44:57Z
43,扁帶,23.8836,121.25639,2624.0,2024-01-27T06:45:22Z
44,紅色扁帶右橫渡,23.883612,121.25654,2631.0,2024-01-27T06:49:58Z
45,中華4G不穩,23.883463,121.25711,2650.0,2024-01-27T07:16:43Z
46,黑色扁帶,23.8831,121.25825,2738.0,2024-01-27T07:31:29Z
47,竹林營地(2T*3)，C1,23.883055,121.25886,2764.0,2024-01-27T07:36:37Z
48,拉繩,23.8829,121.25961,2781.0,2024-01-27T22:53:33Z
49,岔路，左往屯鹿池；取右往安東軍山,23.88171,121.26309,2845.0,2024-01-27T23:13:32Z
50,三岔池,23.881365,121.26321,2845.0,2024-01-27T23:15:39Z
51,手機訊號牌,23.8743,121.26456,3000.0,2024-01-27T23:40:48Z
52,岔路，左往安東軍山；右往摩即山,23.873486,121.264694,3035.0,2024-01-27T23:47:06Z
53,安東軍山,23.872738,121.266106,3057.0,2024-01-27T23:54:21Z
54,乾枯黑水塘，左邊可紮營(2T*4),23.872353,121.2628,2981.0,2024-01-28T00:23:42Z
55,大營地(2T*10),23.872253,121.26232,2975.0,2024-01-28T00:26:30Z
56,紅布條,23.872086,121.260735,2914.0,2024-01-28T00:41:45Z
57,石頭小落差,23.872103,121.26026,2889.0,2024-01-28T00:46:55Z
58,可紮營(2T*3),23.871933,121.25973,2862.0,2024-01-28T00:52:21Z
59,青草營地(2T*8),23.87125,121.25885,2826.0,2024-01-28T01:08:32Z
60,進樹林(橘布條),23.86962,121.25769,2829.0,2024-01-28T01:29:56Z
61,樹林營地，超大看天池,23.869404,121.25748,2825.0,2024-01-28T01:31:52Z
62,營地(2T*5),23.869291,121.256294,2805.0,2024-01-28T01:37:55Z
63,營地(2T*10),23.869322,121.25602,2810.0,2024-01-28T01:40:11Z
64,泥巴池,23.86693,121.25329,2719.0,2024-01-28T02:18:29Z
65,超大營地,23.86595,121.25311,2691.0,2024-01-28T02:24:24Z
66,箭竹硬上,23.864944,121.25269,2698.0,2024-01-28T02:32:34Z
67,橘布條,23.864103,121.25254,2720.0,2024-01-28T02:37:52Z
68,進樹林，紅布條,23.86209,121.251495,2688.0,2024-01-28T02:53:55Z
69,橘布條，進樹林,23.861124,121.250755,2636.0,2024-01-28T03:04:09Z
70,看天池,23.860283,121.25012,2590.0,2024-01-28T03:11:22Z
71,陡下，跟橘布條,23.857077,121.24998,2538.0,2024-01-28T03:49:25Z
72,赤心巔峰布條,23.854744,121.24953,2582.0,2024-01-28T04:15:19Z
73,休息點,23.854446,121.24947,2590.0,2024-01-28T04:17:37Z
74,看天池,23.854326,121.24929,2593.0,2024-01-28T04:42:28Z
75,MIT鞍部箭竹營地,23.851036,121.24695,2548.0,2024-01-28T05:37:56Z
